From,mergedData,,
0xf63be97ff407e614f9db7e7ecf8ce1b087b5f644,214.6554977,,0
0xf6268393a477a598373e593c940ac224dff47d98,715.3093476,,0
0xf617c8f8a91e11283e17f0e33fe58e9ec8c85848,138.6112983,,0
0xf5eaa845c254caeb61131da36eed31012a94aee0,103.2746197,,0
0xf5da8cb865cae5ce2007e2c3e69b7b92d7dacf20,0,,0
0xf5d77e3c00597d4950d2008d7003c802a196b45f,1.800472419,,0
0xf57f0ae71fcbbc283f38944563d3d6852aad93d9,15233.47774,,0
0xf56036f6a5d9b9991c209dcbc9c40b2c1cd46540,9757.399657,,0
0xf55b0b2fecd596d541cf2beafac0a3b7c5b18a31,2873.626775,,0
0xf54eeeb761f18da84a0c8162484ed32b7d490716,109.9757217,,0
0xf54cf21835a12c825adbe2cfff87a08c5aa1d430,74240.8515,,0
0xf50f5d10269fc4f1606458bb8b9e88dbbadb3c6a,4.397361371,,0
0xf4edaaf70ee27c68364aafb6f5c390b0f36ffaac,2.971662798,,0
0xf4dbfcc83dcbbed7e88be98796e1eb385ef4315d,6.552348541,,0
0xf4aff362c70fa1686573cdd4555a40dbe018edf1,32.17205249,,0
0xf4944515e15b75f649d81985941d143d51e9ebb1,195.0636344,,0
0xf4795408337e61d541a9f0d0b998ec865ddb1401,134.6057001,,0
0xf46f179ad48e5f2a69f35f95040d9ab3a224a321,4.33583253,,0
0xf427a55340f8ba33862cefd43d8de457a50e5575,927.9951874,,0
0xf423c071590095c9b6da5fa79e30f5ef6012abdf,543.3012468,,0
0xf40e00db3c911dc7c3c77221bd1a6a3ecea607d9,918.150591,,0
0xf3debd893d3788c3b700e3f2ae7ec2c7619a35db,0,,0
0xf38b07b8ac72ad70806e902c2ecfb7edd36ca3f5,35679.3556,,0
0xf375dc67aa324dbaddc385d4cd152637c06c8107,103.1891889,,0
0xf358ce3134e5a318039914d04e1fd27faef5806c,42.2676394,,0
0xf2c9c2ebaebfc38f76d825b09a91aeec477f4fcf,179.6753835,,0
0xf27bd82093cfb181be2602a653cb453087c872b8,158.7057082,,0
0xf239872d609f31590ea42984bd62f918f75c661f,22849.77275,,0
0xf237fb8a443e54674b4b8d067b52ba92bb92d592,0.1215001828,,0
0xf227f0df9cfbca336397190e64a47e320073c71d,7673.040804,,0
0xf2159ab33dba235f48194ebef17bf7ac7f19922e,5.132066559,,0
0xf1ca5eb0fab2b5126150571bcf4bce49fe07f096,215.2198169,,0
0xf19f3d5f1cb45a6953d6b8946917b06431314c00,8308.065012,,0
0xf1911e430bfad4b0e440b14ef0d16bd4ca028707,0,,0
0xf18da2faba96793f02264d1a047790002f32010f,3592.22337,,0
0xf18c61c673d039534acb89ab2ccfc4bfd70a644d,0.3073775296,,0
