owner,nftId,merkleAmt
0x64368face21029a646d823c0afcbb4da08ce9b78,108,10
0xbad30f9f758e4c533fb9cde65fae5154f0430148,109,0
0x4b4759c59d003a126abda7f2e1a16fa7dc4f0b29,110,0
0xbad30f9f758e4c533fb9cde65fae5154f0430148,111,0
0xa4a62f7127c644aaef733029e0d052e411fdafb4,112,1341.33307
0xe0a86afb73c0922a50d4a985a25507ecda8a9b51,113,400
0x6c0d470d97ef1f230eef10a5c848afcc8261ed67,114,0.21117
0x5a437400ef10265aaedad47cd3520c885d11514e,115,0
0x5a437400ef10265aaedad47cd3520c885d11514e,116,0
0x352bf5e59a4c1a0e4403278fe5c9189f63afde3c,117,4000
0x5a437400ef10265aaedad47cd3520c885d11514e,118,0
0x0507b3ffe3836ad0f256f3d53b8fa7653e54e2eb,119,102.21451
0x71b700181b31747f28a7cde2c26b503a2335c0ad,120,0
0xc766545ef68b49e5c70f4e04c52a9caf27b9a9a6,121,422.13859
0xa4a62f7127c644aaef733029e0d052e411fdafb4,122,2693.9397
0xc6302894cd030601d5e1f65c8f504c83d5361279,123,0
0x9aae12dd452f78ae8919c2168717e7348392ad11,124,0
0x67dacc258dccc8cbfb493c652ab5170c3cff0ad9,125,0
0xbad30f9f758e4c533fb9cde65fae5154f0430148,126,0
0x2705a3516dd983c81ab7fb17d075c77ff118d510,127,1011.14441
0x58ef5039e1c799c4c2a454fae28a2dee21916e44,128,100.9405177
0x708df04e03ac02c440937be6e631fa8b46cb89bc,129,0
0x6e81417b312917305d12f76fa3b6bd66ffaa75e7,130,0
0x11cae591f2e1f3503ed8d62af85eb92aee2f4046,131,0
0xf63be97ff407e614f9db7e7ecf8ce1b087b5f644,132,0
0x98a529e3488c2d44566881feab335b17b1c3b430,133,5
0xc12de812ae612b6d514b52d529f97f6acb524c8e,134,0
0x0962bd7010249356eb89363ce7773c4a53fc97cb,135,0
0x0962bd7010249356eb89363ce7773c4a53fc97cb,136,0
0x3a39899dc78b7307acd83f51463c853fa79e1b09,137,125.51726
